fanzyland2004@gmail.com,11,great
fanzyland2004@gmail.com,17,just so so
vinay@upenn.edu,3,Dude, that's a shark
brad@upenn.edu,4,Dude, that's a shark
sandesh@upenn.edu,2,Kittens are dumb
pierre@upenn.edu,1,Hey, that's me
barack@upenn.edu,5,So huge
rohit.dureja,1,16
durejarahul1810,1,16
sibi,1,16
Avinash,1,16
rgulati,1,16
kevinmu,1,GREAT PHOTO
andrew_82,1,Beautiful
andrew_82,2,16
andrew_82,5,16
TooMuchTuna,3,16
TooMuchTuna,19,So cold
KimKardash,11,India is beautiful
KimKardash,12,16
KimKardash,13,16
FSpagMon,14,Thai manne vanakkam
l33tuser,7,Was an awesome experience
l33tuser,10,Loved it
l33tuser,17,Bucketlist done!!
superman,23,I really wish I can go to Penn someday!
spiderman,3,What an amazing scenery!
richardo,1,Pink Lady
richardo,3,Great pic
richardo,4,Great pic
richardo,5,Great pic
richardo,6,Great pic
vozka,2,Pinkman
vozka,7,Great pic
vozka,8,Great pic
vozka,9,Great pic
vozka,10,Great pic
washington,11,Great pic
washington,12,Great pic
washington,13,Great pic
washington,14,
         
washington,15,Great pic
lincoln,16,Great pic
lincoln,17,Great pic
lincoln,18,
         
lincoln,19,
         
lincoln,20,Great pic
egg,21,Great pic
egg,22,Great pic
egg,23,Great pic
egg,24,Great pic
egg,25,Great pic
jp,1,
         
jp,1,
         
ls,2,
         
rc,3,
         
ss,4,
         
tt,2,
         
tt,1,That video Blows
tfp,20,Stouffer-Mayer is a very cool place to live.
apples,8000,a comment
janedoe,8050,a comment
johndoe,7040,a comment
mrdeeds,5062,a comment
mrdeeds,6035,a comment
angie4eva,1,Good pics but a lot are blurry
bossypants,0,Love the photos!
jackson5,2,Really captured the great moments!
anh3,4,Cool video
laura5,1,Awesome pic!
andre6,2,Lol I look so weird
beheaded,10,love this photo
serial,8,love this photo
daniel1,1,Good
Matt123,1,Awesome picture
Patrick123,7,Wow!
